id,Source,Target,Date
4138,William Floyd,George Clinton,1782-01-31
4139,John Hanson,George Washington,1782-02-01
4140,Samuel Livermore,Meshech Weare,1782-02-05
4141,Caesar Rodney,Thomas Rodney,1782-02-07
4142,James Madison,Edmund Pendleton,1782-02-07
4143,Elbridge Gerry, Massachusetts Assembly,1782-02-09
4144,Samuel Livermore,Meshech Weare,1782-02-11
4145,Ezekiel Cornell,George Washington,1782-02-12
4146, Virginia Delegates,Benjamin Harrison,1782-02-15
4147,Samuel Livermore,Meshech Weare,1782-02-19
4148,El jas Boudinot,Elisha Boudinot,1782-02-20
4149,Charles Thomson,George Ointon,1782-02-21
4150, Virginia Delegates,Benjamin Harrison,1782-02-25
4151,James Madison,Edmund Pendleton,1782-02-25
4152,William Floyd,George Clinton,1782-02-26
4153, South Caroh'na Delegates,John Maws,1782-02-27
4154,Samuel Livermore,Meshech Weare,1782-03-02
4155,Samuel Osgood,James Lovell,1782-03-02
4156, New York Delegates,George Clinton,1782-03-05
4157,Elias Boudinot,Lewis Pintard,1782-03-05
4158,John Hanson,John Hall,1782-03-11
4159,Samuel Livermore,Meshech Weare,1782-03-12
4160,Samuel Livermore,Meshech Weare,1782-03-12
4161, New York Delegates,George Clinton,1782-03-12
4162, Maryland Delegates,Thomas Sim Lee,1782-03-12
4163, Virginia Delegates,Benjamin Harrison,1782-03-12
4164, New York Delegates,George Clinton,1782-03-15
4165,William Ellery,unknown,1782-03-17
4166,James Madison,Thomas Jefferson,1782-03-18
4167,Samuel Livermore,Meshech Weare,1782-03-19
4168, Virginia Delegates,Benjamin Harrison,1782-03-19
4169,Joseph Jones,Edmund Pendleton,1782-03-19
4170, Massachusetts Delegates,John Avery,1782-03-26
4171,Samuel Livermore,Meshech Weare,1782-03-26
4172,James Madison,Thomas Jefferson,1782-03-26
4173,John Morin Scott,George Clinton,1782-03-27
4174, New York Delegates,George Ginton,1782-03-29
4175, Virginia Delegates,Benjamin Lincoln,1782-04-01
4176,John Morin Scott,George Ointon,1782-04-02
4177,James Madison,Eximund Pendleton,1782-04-02
4178,Arthur Lee,James Warren,1782-04-08
4179,Charles Thomson,William Moore,1782-04-09
4180,John Morin Scott,George Clinton,1782-04-09
4181,Samuel Osgood,Samuel Holten,1782-04-15
4182,Samuel Livermore,Meshech Weare,1782-04-16
4183, Rhode Island Delegates,William Greene,1782-04-16
4184,James Madison,Thomas Jefferson,1782-04-16
4185,Edward Telfair,James Jackson,1782-04-19
4186,Arthur Lee,Samuel Adams,1782-04-21
4187,Samuel Livermore,Meshech Weare,1782-04-22
4188,Edmund Randolph,Benjamin Harrison,1782-04-22
4189,John Morin Scott,George Clinton,1782-04-23
4190,William Floyd,George Clinton,1782-04-23
4191, Virginia Delegates,Benjamin Harrison,1782-04-23
4192,James Madison,Edmund Randolph,1782-04-23
4193,James Madison,Edmund Pendleton,1782-04-23
4194, Connecticut Delegates,Jonathan Trumbull,1782-04-29
4195,Samuel Livermore,John Hanson,1782-04-29
4196, Virginia Delegates,Benjamin Harrison,1782-04-30
4197,James Madison,Edmund Randolph,1782-05-01
4198,James Madison,Observations,1782-05-01
4199, South Carolina Delegates,John Maws,1782-05-06
4200, Rhode Island Delegates,William Greene,1782-05-07
4201, Virginia Delegates,Benjamin Harrison,1782-05-07
4202,James Madison,Edmund Randolph,1782-05-07
4203,James Madison,Arthur Lee,1782-05-07
4204,Charles Thomson,Robert Morris,1782-05-09
4205,Charles Thomson,Robert R. Livingston,1782-05-09
4206,Charles Thomson,Robert R. Livingston,1782-05-10
4207,Jesse Root,Jonathan Trumbull,1782-05-11
4208,Charles Thomson,Report,1782-05-13
4209,James Madison,Edmund Randolph,1782-05-14
4210,Edmund Randolph,John Tyler,1782-05-16
4211,Jesse Root,Jeremiah Wadsworth,1782-05-17
4212,John Morin Scott,George Clinton,1782-05-21
4213,William Floyd,George Clinton,1782-05-22
4214,Charles Thomson,Jonathan Trumbull,1782-05-23
4215,Charles Thomson, Several States,1782-05-23
4216,Jesse Root,Jonathan Trumbull,1782-05-24
4217,John Hanson, Several States,1782-05-28
4218,John Morin Scott,George Clinton,1782-05-28
4219, Virginia Delegates,Benjamin Harrison,1782-05-28
4220,James Madison,Edmund Randolph,1782-05-28
4221,James Madison,Arthur Lee,1782-05-28
4222,John Lowell,Samuel Adams,1782-05-28
4223,James Madison,Edmund Randolph,1782-05-29
4224,William Few,James Jackson,1782-06-02
4225,James Madison,Edmund Randolph,1782-06-03
4226,Charles Thomson,Robert Morris,1782-06-04
4227,John Morin Scott,George Washington,1782-06-04
4228,James Dt01e,Philip Schuyler,1782-06-04
4229,Turbutt Wright,John Hall,1782-06-04
4230,John Hanson,John Hall,1782-06-04
4231, Virginia Delegates,Benjamin Harrison,1782-06-04
4232,James Madison,Edmund Randolph,1782-06-04
4233, Connecticut Delegates,Jonathan Trumbull,1782-06-05
4234,James Duane,Philip Schuyler,1782-06-10
4235,John Hanson,John Hall,1782-06-11
4236,James MadiscKi,Edmund Randolph,1782-06-11
4237, Virginia Delegates,Benjamin Hiarrison,1782-06-11
4238,Samuel Osgood,John Avery,1782-06-12
4239,Charles Thomson,Robert R. Livingston,1782-06-14
4240, Connecticut Delegates,Jonathan Trumbull,1782-06-17
4241,Eliphalet Dyer,Roger Sherman,1782-06-17
4242, Virginia Delegates,Benjamin Harrison,1782-06-18
4243,James Madison,Edmund Randolph,1782-06-18
4244,John Taylor Gilman,Meshech Weare,1782-06-19
4245,Charles Thomson,William Barton,1782-06-24
4246, Virginia Delegates,Benjamin Harrison,1782-06-25
4247,John Taylor Gilman,Meschech Weare,1782-06-26
4248, Connecticut Delegates,Jonathan Trumbull,1782-07-01
4249,James Duane,George Qinton,1782-07-01
4250,James Madison,Edmund Randolph,1782-07-02
4251,Arthur Lee,Francis Dana,1782-07-06
4252,John Lowell,Samuel Adams,1782-07-08
4253,John Taylor Gilman,Meshech Weare,1782-07-09
4254,John Taylor Gilman,Josiah Bartlett,1782-07-09
4255,James Madison,Edmund Randolph,1782-07-09
4256,Benjamin Huntington,Andrew Huntington,1782-07-13
4257,James Duane,George Ointon,1782-07-16
4258, Virginia Delegates,Benjamin Harrison,1782-07-16
4259,James Madison,Edmund Randolph,1782-07-16
4260,James Madison,Edmund Pendleton,1782-07-16
4261,John Taylor Gilman,Meshech Weare,1782-07-17
4262,James Duane,Philip Schuyler,1782-07-18
4263, Rhode Island Delegates,William Greene,1782-07-19
4264,Charles Thomson,Notes of Debates,1782-07-23
4265, Virginia Delegates,Benjamin Harrison,1782-07-23
4266,James Madison,Edmund Randolph,1782-07-23
4267,John Taylor Oilman,Meshech Weare,1782-07-24
4268,Arthur Lee,James Warren,1782-07-24
4269,Charles Thomson,Notes of Debates,1782-07-25
4270, Connecticut Delegates,Jonathan Trumbull,1782-07-29
4271,Abraham Oark,Elias Dayton,1782-07-29
4272,Charles Thomson,Notes of Debates,1782-07-30
4273,David Howell,William Greene,1782-07-30
4274, Virginia Delegates,Benjamin Harrison,1782-07-30
4275,James Madison,Edmund Randolph,1782-07-30
4276,Charles Thomson,Notes of Debates,1782-08-02
4277,David Howell,Welcome Arnold,1782-08-03
4278, North Carolina Delegates,Alexander 03tin,1782-08-03
4279,John Taylor Oilman,Meshech Weare,1782-08-05
4280,John Taylor Oilman,Josiah Bartlett,1782-08-05
4281,John Wirspoon,Speech on Finances,1782-08-05
4282,James Madison,Edmund Randolph,1782-08-05
4283,Charles Thomson,Notes of Debates,1782-08-05
4284,David Hbwell,Moses Brown,1782-08-06
4285, Virginia Delegates,Benjamin Harrison,1782-08-06
4286,Arthur Lee,Samuel Adams,1782-08-06
4287,Thomas McKean,Samuel Adams,1782-08-06
4288,Jesse Root,Jonathan Trumbull,1782-08-07
4289,Charles Thomson,Notes of Debates,1782-08-09
4290, Connecticut Delegates,Jonathan Trumbull,1782-08-10
4291,David Howell,William Ellery,1782-08-10
4292,Charles Thomson,Notes of Debates,1782-08-12
4293, Virginia Delegates,Benjamin Harrison,1782-08-13
4294,James Madison,Edmund Randolph,1782-08-13
4295,John Rutledge,Horatio Gates,1782-08-14
4296,John Taylor Oilman,Meshech Weare,1782-08-15
4297,Charles Thomson,Notes of Debates,1782-08-16
4298,James Duane,Philip Schuyler,1782-08-16
4299, South Carolina Delegates,George Washington,1782-08-17
4300, North Carolina Delegates,Alexander 03tin,1782-08-19
4301,Charles Thomson,Notes of Debates,1782-08-20
4302,James Duane,George Clinton,1782-08-20
4303,James Madison,Edmund Randolph,1782-08-20
4304,John Taylor Oilman,Meshech Weare,1782-08-21
4305,David Howell,Welcome Arnold,1782-08-23
4306,Ralph Izard,Arthur Middleton,1782-08-26
4307,James Madison,Edmund Randolph,1782-08-27
4308,Charles Thomson,Notes of Debates,1782-08-28
4309,James Lovell,William Whipple,1782-08-30
4310,Hugh Williamson,Alexander 03tin,1782-09-02
4311,James Madison,Edmund Randolph,1782-09-03
4312,John Wirspoon,Proposed Resolves,1782-09-06
4313,John Wirspoon,Speech on Loan-Office Certificates,1782-09-09
4314, Virginia Delegates,Benjamin Harrison,1782-09-10
4315,James Madison,Edmimd Randolph,1782-09-10
4316, South Carolina Delegates,John Maws,1782-09-10
4317,John Taylor Oilman,Meshech Weare,1782-09-11
4318,John Taylor Oilman,Josiah Bartlett,1782-09-11
4319,Ezra L'Hommedieu,George Clinton,1782-09-11
4320, North Carolina Delegates,Alexander 03tin,1782-09-11
4321,Charles Thomson,Notes of Debates,1782-09-17
4322,John Taylor Gilman,Josiah Bartlett,1782-09-17
4323,Samuel Osgood,Henry Knox,1782-09-17
4324, Virginia Delegates,Benjamin Harrison,1782-09-17
4325,James Madison,Edmund Randolph,1782-09-17
4326, South Carolina Delegates,John Maws,1782-09-17
4327,Arthur Middleton,Edward Rutledge,1782-09-17
4328,John Taylor Gilman,Meshech Weare,1782-09-18
4329,John Rutledge,Nathanael Greene,1782-09-18
4330,Charles Thomson,Notes of Debates,20 1782
4331,William Ellery,Nathan Miller,1782-09-21
4332, New York Delegates,George Clinton,1782-09-21
4333,James Duane,George Clinton,1782-09-21
4334, Virginia Delegates,Benjamin Harrison,1782-09-24
4335,James Madison,Edmund Randolph,1782-09-24
4336,John Taylor Gilman,Meshech Weare,1782-09-25
4337,Abraham Clark,John Mehelm,1782-09-26
4338, New York Delegates,ICzekiel Cornell,1782-09-30
4339, Virginia Delegates,Benjamin Harrison,1782-10-01
4340,John Taylor Gilman,Meshech Weare,1782-10-02
4341,John Taylor Gilman,Meshech Weare,1782-10-02
4342,Elias Boudinot,Lewis Pintard,1782-10-02
4343,Ralph Izard,Mrs. Izard,1782-10-07
4344,Jonathan Arnold,William Greene,1782-10-08
4345,Daniel Carroll,Daniel of St. Thomas Jenifer,1782-10-08
4346,James Madison,Edmund Randolph,1782-10-08
4347,Joseph Jones,Edmund Pendleton,1782-10-08
4348,Ezra L'Hommedieu,George Clinton,1782-10-09
4349,James Duane,George Clinton,1782-10-09
4350, Rhode Island Delegates,William Greene,1782-10-13
4351, Rhode Island Delegates,William Greene,1782-10-15
4352, Virginia Delegates,Benjamin Harrison,1782-10-15
4353,James Madison,Edmund Randolph,1782-10-15
4354,David Howell,John Carter,1782-10-16
4355,Ezra L'Hommedieu,George Clinton,1782-10-16
4356,David Howell,Nathanael Greene,1782-10-18
4357,Thomas Smith, Pennsylvania Council,1782-10-18
4358, Rhode Island Delegates,William Greene,1782-10-19
4359,Eliphalet Dyer,Jonathan Trumbull jr.,1782-10-19
4360,James Madison,Edmund Randolph,1782-10-22
4361,James Madison,Edmund Pendleton,1782-10-22
4362, North Carolina Delegates,Alexander 03tin,1782-10-22
4363,John Taylor Gilman,Josiah Bartlett,1782-10-23
4364,Samuel Osgood,John Hancock,1782-10-23
4365,James Duane,George Clinton,1782-10-23
4366,Ezra L'Hommedieu,George Clinton,1782-10-23
4367,Elias Boudinot,William Livingston,1782-10-23
4368,Ralph Izard,John Lowell,1782-10-23
4369, North Carolina Delegates,Alexander 03tin,1782-10-25
4370,John Taylor Ciilman,Meshech Weare,1782-10-29
4371, Virginia Delegates,Benjamin Harrison,1782-10-29
4372,James Madison,Edmund Randolph,1782-10-29
4373,James Duane,George Clinton,1782-10-30
4374,John Hanson,Estevan Miro,1782-10-31
4375,James Madison,Edmund Pendleton,1782-11-05
4376,David Howell,Nathanael Greene,1782-11-05
4377,Ezra L'Hommedieu,George Clinton,1782-11-05
4378, Virginia Delegates,Benjamin Harrison,1782-11-05
4379,James Madison,Edmund Randolph,1782-11-05
4380,Phillips White,Meshech Weare,1782-11-06
4381,David Howell,Moses Brown,1782-11-06
4382,Elias Boudinot,Lewis Pintard,1782-11-06
4383,Eliphalet Dyer,Jonathan Trumbull,1782-11-08
4384, North Carolina Delegates,Alexander 03tin,1782-11-09
4385,James Madison,Edmund Randolph,1782-11-12
4386,Joseph Jones,Edmund Pendleton,1782-11-12
4387,Ezra L'Hommedieu,George Clinton,1782-11-13
4388,James Duane,George Clinton,1782-11-15
4389,James Madison,Benjamin Harrison,1782-11-15
4390,David Howell,Welcome Arnold,1782-11-17
4391,Samuel Wharton,George Read,1782-11-17
4392,Ezra L'Hommedieu,George Clinton,1782-11-18
4393,Hugh Williamson,Alexander 03tin,1782-11-18
4394,James Madison,Edmund Randolph,1782-11-19
4395,John Taylor Gilman,Meshech Weare,1782-11-20
4396, Virginia Delegates,Benjamin Harrison,1782-11-26
4397,James Madison,Edmund Randolph,1782-11-26
4398, President of Congress (Elias Boudinot),George Washington,1782-11-27
4399,James Madison,Edmund Randolph,1782-12-03
4400,Phillips White,Josiah Bartlett,1782-12-04
4401,John Taylor Gilman,Meshech Weare,1782-12-04
4402,Samuel Osgood,Henry Knox,1782-12-04
4403,James Duane,George Clinton,1782-12-05
4404,Elias Boudinot,George Read,1782-12-06
4405,Jonathan Arnold,William Greene,1782-12-06
4406, Rhode Island Delegates,William Greene,1782-12-07
4407,William Floyd,George Clinton,1782-12-07
4408, New York Delegates,George Clinton,1782-12-09
4409,William Floyd,James Duane,1782-12-09
4410, Virginia Delegates,Benjamin Harrison,1782-12-10
4411,James Madison,Edmund Randolph,1782-12-10
4412,Elias Boudinot,John Lowell,1782-12-11
4413,Elias Boudinot,Thomas Chittenden,1782-12-11
4414, New Hampshire Delegates,Meshech Weare,1782-12-11
4415,Abraham Oark,Elias Dayton,1782-12-16
4416,John Taylor Gilman,Meshech Weare,1782-12-17
4417, Virginia Delegates,Benjamin Harrison,1782-12-17
4418,James Madison,Edmund Randolph,1782-12-17
4419,Jonathan .Arnold,William Greene,1782-12-18
4420,Daniel Carroll,William Paca,1782-12-21
4421,Elias Boudinot,Lewis Pintard,1782-12-24
4422,James Madison,Edmutid Randolph,1782-12-24
4423,Elias Boudinot,Elias Dayton,1782-12-25
4424,Phillips White,Meshech Weare,1782-12-25
4425,Oliver Wolcott,Mrs. Wolcott,1782-12-28
4426,James Madi.son,Edmund Randolph,1782-12-30
4427, Virginia Delegates,Benjamin Harrison,1782-12-31
4428,David Howell,Thomas Carder Hazard,1783-08-26
4429,Charles Thomson,Samuel Hardy,1784-06-20
4430,Nathan Dane,Edward Pullen,1786-01-08
4431,Nathan Dane,James Bowdoin,1786-01-10
4432,Pierse Long,John Langdon,1786-01-11
4433,James Monroe,Thomas Jefferson,1786-01-19
4434,Samuel Livermore,John Langdon,1786-01-20
4435,Nathan Dane,Samuel Phillips,1786-01-20
4436,James Monroe,William Short,1786-01-23
4437, Chairman of Congress (David Ramsay),Certain States,1786-01-31
4438,Nathan Dane,John Choate,1786-01-31
4439,Nathan Dane,Jacoh Wtlet,1786-01-31
4440,Charles Thomson, Several States,1786-02-01
4441,Rufus King,John Adams,1786-02-01
4442,Rufus King,John Adams,1786-02-03
4443,Nathan Dane,Samuel Holten,1786-02-04
4444,Samuel Livermore,John Langdon,1786-02-05
4445,James Monroe,James Madison,1786-02-09
4446,David Ramsay,Benjamin Rush,1786-02-11
4447,Pierse Long,John Langdon,1786-02-11
4448,Nathan Dane,odore Sedgwick,1786-02-11
4449,Nathan Dane,Thomas Dwight,1786-02-11
4450,Nathan Dane,Samuel Adams,1786-02-11
4451,James Monroe,James Madison,1786-02-11
4452,Nathan Dane,Justin Ely,1786-02-13
4453,Henry Lee,James Madison,1786-02-16
4454,Stephen Mix Mitchell,William Samuel Johnson,1786-02-21
4455,Charles Thomson, State of Rhode Island,1786-02-24
4456,Charles Thomson, State of Delaware,1786-02-24
4457,Charles Thomson, State of North Carolina,1786-02-24
4458,Charles Thomson,Certain States,1786-02-28
4459,John Kean,John Jay,1786-02-28
4460,Charles Thomson, Several States,1786-03-01
4461,Charles Thomson,Cyrus Griffin,1786-03-01
4462,Charles Thomson,George Read,1786-03-01
4463,Henry Lee,George Washington,1786-03-02
4464,Charles Thomson,Benjamin Franklin,1786-03-04
4465,Charles Thomson,Certain States,1786-03-04
4466, South Carolina Delegates,William Moultrie,1786-03-04
4467,Rufus King,James Bowdoin,1786-03-05
4468,Nathaniel Gorham,James Warren,1786-03-06
4469,Charles Thomson,Charles Pinckney,1786-03-07
4470,Charles Thomson,Nathaniel Gorham,1786-03-07
4471,Charles Thomson,William Grayson,1786-03-07
4472,Stephen Mix Mitchell,Oliver Wolcott jr.,1786-03-07
4473,John Bayard,John Nicholson,1786-03-11
4474,David Ramsay,Henry Knox,1786-03-12
4475,William Hindman,unknown,1786-03-12
4476,Charles Pinckney,Speech before New Jersey Assembly,1786-03-13
4477,Charles Thomson,William Livingston,1786-03-14
4478,William Grayson,Henry Knox,1786-03-14
4479,Pierse Long,John Langdon,1786-03-15
4480,James Monroe,James Madison,1786-03-19
4481,William Grayson,James Madison,1786-03-22
4482,William Grayson,Richard Henry Lee,1786-03-22
4483,Pierse Long,John Langdon,1786-03-29
4484,Rufus King,Elbridge Gerry,1786-03-29
4485, Maryland Delegates,William Small wood,1786-04-02
4486,Nathaniel Gorham,James Bowdoin,1786-04-05
4487, Maryland Delegates,William Smallwood,1786-04-06
4488,Rufus King,Elbridge Gerry,1786-04-09
4489,Nathaniel Peabody,John Langdon,1786-04-12
4490, Connecticut Delegates,Matw Griswold,1786-04-12
4491,Edward Carrington,Timothy Pickering,1786-04-13
4492,Edward Carrington,Timothy Pickering,1786-04-16
4493,Charles Thomson,Benjamin Hawkins,1786-04-18
4494,Rufus King,Elbridge Gerry,1786-04-19
4495,James Monroe,John Jay,1786-04-20
4496,Henry Lee,George Washington,1786-04-21
4497,Charles Thomson, Several States,1786-04-22
4498,Rufus King,Jonathan Jackson,1786-04-22
4499, Maryland Delegates,William Smallwood,1786-04-28
4500,Nathan Dane,Thomas Ivers,1786-04-29
4501,Rufus King,Elbridge Gerry,1786-04-30
4502,Thomas Rodney,Diary,1786-05-02
4503,Stephen Mix Mitchell,Jeremiah Wadsworth,1786-05-03
4504,David Ramsay,Benjamin Rush,1786-05-03
4505,Thomas Rodney,Diary,1786-05-03
4506,Timothy Bloodworth,Richard Caswell,1786-05-03
4507,Roger Alden,John Jay,1786-05-04
4508,Rufus King,John Adams,1786-05-04
4509,Thomas Rodney,Diary,1786-05-04
4510,Rufus King,John Adams,1786-05-05
4511,Rufus King,Elbridge Gerry,1786-05-06
4512, Pennsylvania Delegates,Benjamin Franklin,1786-05-07
4513,Charles Thomson,Azariah Horton,1786-05-10
4514,Charles Thomson,Richard Claiborne,1786-05-10
4515, Maryland Delegates,William Smallwood,1786-05-10
4516,James Monroe,Thomas Jefferson,1786-05-11
4517,Rufus King,Elbridge Gerry,1786-05-14
4518,Charles Pettit,Jeremiah Wadsworth,1786-05-14
4519,Charles Thomson,Benjamin Franklin,1786-05-15
4520,James Manning,Hezekiah Smith,1786-05-17
4521,Stephen Mix Mitchell,Oliver Wolcott jr.,1786-05-18
4522,James Manning,Nathan Miller,1786-05-19
4523,Pierse Long,John Langdon,1786-05-21
4524,James Monroe,Richard Henry Lee,1786-05-24
4525,James Manning,John Collins,1786-05-26
4526,Nathan Miller,James Manning,1786-05-27
4527,Charles Pettit,Jeremiah Wadsworth,1786-05-27
4528,William Grayson,George Washington,1786-05-27
4529,William Grayson,James Madison,1786-05-28
4530,James Monroe,James Madison,1786-05-31
4531,Charles Thomson,Certain States,1786-06-01
4532,Pierse Long,John Langdon,1786-06-01
4533,Rufus King,Elbridge Gerry,1786-06-01
4534,William Blount,Richard Caswell,1786-06-02
4535,Rufus King,Elbridge Gerry,1786-06-04
4536,Rufus King,Elbridge Gerry,1786-06-04
4537,James Manning,Nathan Miller,1786-06-07
4538,Rufus King,Elbridge Gerry,1786-06-08
4539, Virginia Delegates,Patrick Henry,1786-06-08
4540,James White,Richard Caswell,1786-06-08
4541, Pennsylvania Delegates,Benjamin Franklin,1786-06-09
4542,Nathan Dane,James Bowdoin,1786-06-10
4543,Rufus King,Elbridge Gerry,1786-06-11
4544,Rufus King,Jonathan Jackson,1786-06-11
4545,James Manning,Nathan Miller,1786-06-12
4546,Charles Thomson, Commissioners for Indian Affairs of Middle Department,1786-06-16
4547,Charles Thomson, Commissioners for Indian Affairs of Norrn Department,1786-06-16
4548,James Monroe,Thomas Jefferson,1786-06-16
4549,Rufus King,Elbridge Gerry,1786-06-18
4550,Stephen Mix Mitchell,William Samuel Johnson,1786-06-18
4551,Richard Henry Lee,Nathaniel Gorham,1786-06-20
4552,James Manning,John Collins,1786-06-23
4553,Charles Thomson,John Jay,1786-06-29
4554,Charles Thomson, Judges of Court of Appeals,1786-06-29
4555, Pennsylvania Delegates,Benjamin Franklin,1786-06-30
4556,Charles Thomson, Several States,1786-07-01
4557,Charles Pettit,James Wilson,1786-07-02
4558,Charles Thomson,Patrick Henry,1786-07-03
4559,Charles Thomson,John Jay,1786-07-03
4560,Henry Lee,George Washington,1786-07-03
4561,Rufus King,Elbridge Gerry,1786-07-04
4562, Virginia Delegates,Patrick Henry,1786-07-05
4563,Rufus King,Elbridge Gerry,1786-07-06
4564,William Blount,Richard Caswell,1786-07-08
4565,Charles Thomson,Patrick Henry,1786-07-11
4566,James Monroe,Thomas Jefferson,1786-07-16
4567, Virginia Delegates,Patrick Henry,1786-07-17
4568,William Gumming,Richard Caswell,1786-07-17
4569,Charles Thomson,Certain States,1786-07-26
4570,Rufus King,James Monroe,1786-07-30
4571,William Samuel Johnson,Richard Jackson,1786-07-30
4572,Charles Pettit,Charles Biddle,1786-08-02
4573,James Manning,Samuel Jones,1786-08-03
4574,William Cumming,Richard Caswell,1786-08-03
4575,Charles Pettit,Benjamin Franklin,1786-08-04
4576,Pierse Long,John Langdon,1786-08-06
4577,Pierse Long,John Sullivan,1786-08-06
4578,odore Sedgwick,Caleb Strong,1786-08-06
4579, Maryland Delegates,William Smallwood,1786-08-07
4580,Henry Lee,George Washington,1786-08-07
4581,Stephen Mix Mitchell,William Samuel Johnson,1786-08-09
4582,James Monroe,James Madison,1786-08-11
4583,Nathan Dane,Rufus King,1786-08-11
4584,James White,John Sullivan,1786-08-11
4585,Charles Thomson,Certain States,1786-08-12
4586,James Monroe,Patrick Henry,1786-08-12
4587,Rufus King,Elbridge Gerry,1786-08-13
4588,Charles Thomson, Governor of North Carolina,1786-08-14
4589,Charles Thomson, Governor of South Carolina,1786-08-14
4590,Charles Thomson, Governor of Georgia,1786-08-14
4591,James Monroe,James Madison,1786-08-14
4592,Charles Thomson,Minutes of Proceedings,1786-08-16
4593,James Monroe,John Sullivan,1786-08-16
4594,James Monroe,George Clinton,1786-08-16
4595, Virginia Delegates,Motion,1786-08-16
4596,Timothy Bloodworth,Richard Caswell,1786-08-16
4597,William Samuel Johnson,Notes of Debates,1786-08-22
4598,Rufus King,Nathan Dane,1786-08-17
4599,Charles Thomson,Minutes of Proceedings,1786-08-18
4600, Virginia Delegates,Motion,1786-08-18
4601,Charles Thomson,Walter Livingston ,1786-08-19
4602,Charles Thomson,Comfort Sands,1786-08-19
4603,James Monroe,Thomas Jefferson,1786-08-19
4604,Lambert Cadwalader,James Monroe,1786-08-20
4605,James Monroe,George Washington,1786-08-20
4606,William Samuel Johnson,Speech in Congress,1786-08-21
4607,Charles Thomson,Minutes of Proceedings,1786-08-22
4608,James Manning,Samuel Jones,1786-08-23
4609,Charles Thomson, Inhabitants of Kaskaskias,1786-08-24
4610,Samuel Livermore,John Sullivan,1786-08-24
4611,Timothy Bloodworth,Richard Caswell,1786-08-24
4612,Charles Thomson, Reverend John Ettwein,1786-08-26
4613,Samuel Livermore,John Sullivan,1786-08-26
4614,Rufus King,Elbridge Gerry,1786-08-26
4615,Rufus King,Elbridge Gerry,1786-08-26
4616,Timothy Bloodworth,Richard Caswell,1786-08-28
4617,John Henry,William Smallwood,1786-08-30
4618,James Monroe,James Madison,1786-08-30
4619,James Monroe,James Madison,1786-09-01
4620,Charles Thomson,John Sullivan,1786-09-02
4621,Rufus King,Jonathan Jackson,1786-09-03
4622,James Monroe,James Madison,1786-09-03
4623,Timothy Bloodworth,Richard Caswell,1786-09-04
4624,Henry Lee,George Washington,1786-09-08
4625,James Monroe,James Madison,1786-09-12
4626,Rufus King,Note,1786-09-13
4627,Stephen Mix Mitchell,William Samuel Johnson,1786-09-14
4628,Charles Thomson, Judges appointed in Case of South Carolina vs. Georgia,1786-09-15
4629,Rufus King,James Bowdoin,1786-09-17
4630,John Langdon,John Sullivan,1786-09-20
4631,Charles Thomson,Jeremiah Wadsworth,1786-09-26
4632, Rhode Island Delegates,John Collins,1786-09-28
4633,James Monroe,James Madison,1786-09-29
4634,Timothy Bloodworth,Richard Caswell,1786-09-29
4635,Henry Lee,George Washington,1786-10-01
4636,Rufus King,John Adams,1786-10-02
4637,James Monroe,James Madison,1786-10-02
4638,James Monroe,James Madison,1786-10-07
4639,Charles Thomson, Reverend John Ettwein,1786-10-31
4640,James White, President of Congress (Nathaniel Gorham),1786-10-10
4641,Charles Thomson, Governor of North Carolina,1786-10-11
4642,Charles Thomson, Governor of South Carolina,1786-10-11
4643,Charles Thomson, Governor of Georgia,1786-10-11
4644,Rufus King,Address before Massachusetts House of Representatives,1786-10-11
4645,Henry Lee,George Washington,1786-10-11
4646,James White,Nathaniel Gorham,1786-10-11
4647,James Monroe,Thomas Jefferson,1786-10-12
4648,Charles Thomson,Richard Butler,1786-10-13
4649,Charles Thomson, Reverend John Ettwein,1786-10-13
4650,Charles Thomson, Several States,1786-10-16
4651,Henry Lee,George Washington,1786-10-17
4652,Charles Pettit,Benjamin Franklin,1786-10-18
4653,Rufus King,Elbridge Gerry,1786-10-19
4654,Henry Lee,James Madison,1786-10-19
4655,Henry Lee,Henry St. George Tucker,1786-10-20
4656,Nathaniel Gorham,James Bowdoin,1786-10-22
4657,Charles Pettit,Benjamin Franklin,1786-10-23
4658,Charles Thomson,George Read,1786-10-24
4659,Henry Lee,James Madison,1786-10-25
4660,Charles Thomson,Certain States,1786-10-27
4661, Massachusetts Delegates,James Bowdoin,1786-10-28
4662,Nathaniel Gorham,Thomas Ivers,1786-10-28
4663, Maryland Delegates,William Smallwood,1786-10-31
4664,John Henry,William Smallwood,1786-11-01
4665,Charles Thomson, Several States,1786-11-04
4666,John Kean,John Jay,1786-11-04
4667,Rufus King,Elbridge Gerry,1786-11-05
4668,John Henry,William Smallwood,1786-11-05
4669,William Blount,Richard Caswell,1786-11-05
4670,Charles Pettit,Thomas Mifflin,1786-11-08
4671,Nathan Dane,Address before Massachusetts House of Representatives,1786-11-09
4672,Charles Thomson, Several States,1786-11-11
4673,Henry Lee,George Washington,1786-11-11
4674,John Kean,John Jay,1786-11-11
4675,Roger Alden,William Samuel Johnson,1786-11-12
4676,William Blount,Richard Caswell,1786-11-16
4677,Rufus King,Nathan Dane,1786-11-22
4678,Stephen Mix Mitchell,William Samuel Johnson,1786-11-22
4679,William Grayson,James Monroe,1786-11-22
4680,William Grayson,James Madison,1786-11-22
